country,adm0,Province,adm1,lon,lat,continent,surv_qual,logpop,temp_max,temp_min,temp_mean,precip_max,precip_min,precip_mean
Bhutan,BTN,Wangduephodrang,BTN.18_1,90.15324184,27.54309373,Asia,0,4.613336732,18.6539548,-8.220169492,5.216892655,286.6235405,2.947080979,101.5623038
Bhutan,BTN,Yangtse,BTN.19_1,91.50024941,27.66752026,Asia,0,4.287032348,20.79084728,-7.166631799,6.812107741,226.2798117,2.907426778,84.44198919
Bhutan,BTN,Zhemgang,BTN.20_1,90.85615881,27.05626019,Asia,0,4.350549745,25.49356061,3.00094697,14.24725379,623.4813763,7.352588384,224.2352957
China,CHN,Anhui,CHN.1_1,117.2262303,31.82578581,Asia,0,7.804693415,31.86785065,-1.513818735,15.17701596,181.7784005,30.63146576,93.39384538
China,CHN,Beijing,CHN.2_1,116.4106715,40.1849142,Asia,0,7.323001146,29.52840736,-12.5197399,8.504333733,196.3519408,3.533253301,46.50046352
China,CHN,Chongqing,CHN.3_1,107.8748401,30.05864874,Asia,0,7.489598884,30.38164943,1.839897012,16.11077322,184.4995184,20.19721645,102.1259801
China,CHN,Fujian,CHN.4_1,117.9899438,26.08105732,Asia,0,7.593962188,30.90147232,4.963405657,17.93243899,280.5611781,39.1558203,139.4733831
China,CHN,Gansu,CHN.5_1,100.9338739,37.82078887,Asia,0,7.437739241,24.99370965,-15.80552708,4.594091281,60.48256881,1.723635713,24.96388363
China,CHN,Guangdong,CHN.6_1,113.4152731,23.33519983,Asia,0,8.047725531,31.83792881,8.332263043,20.08509593,276.3912361,32.16116089,140.8996964
China,CHN,Guangxi,CHN.7_1,108.7865663,23.82701469,Asia,0,7.692707187,31.49868857,7.072134786,19.28541168,258.8693809,33.99995024,126.0055384
China,CHN,Guizhou,CHN.8_1,106.8740991,26.8151819,Asia,0,7.57109326,28.63644903,1.844516454,15.24048274,206.5168847,22.64746306,99.87350855
China,CHN,Hainan,CHN.9_1,109.7458309,19.19553393,Asia,0,6.966294914,31.77001439,14.44352518,23.10676978,273.0968345,19.27369305,124.0479616
China,CHN,Hebei,CHN.10_1,116.1300572,39.54574155,Asia,0,7.885648261,28.86116045,-13.64362914,7.608765656,156.1011188,3.693538061,42.00178978
China,CHN,Heilongjiang,CHN.11_1,127.7823601,47.84154247,Asia,0,7.611320979,26.00648637,-28.25408174,-1.123797684,137.8452176,4.464933785,46.16564392
China,CHN,Henan,CHN.12_1,113.613553,33.88259152,Asia,0,8.003460758,31.59205758,-4.88002729,13.35601514,172.3100912,13.4037801,62.48990517
China,CHN,Hubei,CHN.13_1,112.2690854,30.97599381,Asia,0,7.788070111,30.79879981,-1.102605956,14.84809692,177.1590258,26.02371135,96.95652227
China,CHN,Hunan,CHN.14_1,111.7084469,27.60697558,Asia,0,7.847736698,32.0753633,1.403708253,16.73953578,217.9959748,43.94087208,119.9541055
China,CHN,Jiangsu,CHN.15_1,119.4557011,32.97338839,Asia,0,7.925272236,31.06330003,-2.162671043,14.45031449,198.0104519,28.26935478,77.3951287
China,CHN,Jiangxi,CHN.16_1,115.7208219,27.61366261,Asia,0,7.678565015,32.99498361,2.082328494,17.53865605,258.4798949,44.49155371,130.9536807
China,CHN,Jilin,CHN.17_1,126.1940038,43.66440549,Asia,0,7.468748853,26.68971337,-23.42002345,1.634844961,165.5775129,5.267477689,52.26026969
China,CHN,Liaoning,CHN.18_1,122.6076547,41.2989153,Asia,0,7.669520835,27.91737112,-16.97428607,5.471542525,193.7199145,6.207168624,58.3392461
